741,Capelli Sport Stadion, Køge Idrætspark
742,Lollands Bank Park
743,Lyngby Stadion
745,MTM Service Park
746,Nature Energy Park
748,Cepheus Park Randers
749,Middelfart Stadion
750,JYSK Park
756,Sydbank Park
760,Vejle Stadion
761,Viborg Stadion
764,Monumental Banco Pichincha
765,Estadio Olímpico Atahualpa
767,Estadio Fernando Guerrero Guerrero
769,Estadio Olímpico de Ibarra
770,Estadio George Capwell
772,Estadio Jocay
773,Estadio Alejandro Serrano Aguilar
775,Rodrigo Paz Delgado
776,Arab Contractors Stadium
777,El Salam Stadium
778,Petrosport Stadium
779,Cairo International Stadium
780,Alexandria Stadium
781,Suez Stadium
782,Alexandria Stadium
783,Cairo Military Academy Stadium
784,El Max
785,Ismailia Stadium
787,Cairo Military Academy Stadium
788,El Salam Stadium
789,Gehaz El Reyada Stadium
790,Khaled Bichara Stadium
791,Cairo International Stadium
792,Estadio Jorge Calero Suárez
793,Estadio Cuscatlán
797,Estadio Óscar Alberto Quiteño
799,Estadio Juan Francisco Barraza
800,Estadio Sergio Torres
802,Vitality Stadium
803,Hornchurch Stadium
804,New Bucks Head
805,Plough Lane
806,The Wham Stadium
807,The Recreation Ground
808,Impact Arena
809,J. Davidson Stadium
810,Emirates Stadium
811,Villa Park
812,The Hive Stadium
813,Oakwell Stadium
814,Holker Street
816,Twerton Park
818,St. Andrew’s @ Knighthead Park
820,Ewood Park
821,Bloomfield Road
822,Croft Park
824,Toughsheet Community Stadium
825,The Jakemans Stadium
826,St James Park
827,Northern Commercials Stadium
828,Cressing Road Stadium
829,Gtech Community Stadium
830,AMEX Stadium
831,Ashton Gate
832,Memorial Stadium
833,H2T Group Stadium
834,Turf Moor
836,Pirelli Stadium
838,Tarmac Silverlands Stadium
840,Cledara Abbey Stadium
841,Cardiff City Stadium
842,Brunton Park
843,The Valley
844,The EMG Inspire Stadium
845,Stamford Bridge
846,Completely-Suzuki Stadium
847,Deva Stadium
848,SMH Group Stadium
849,Hardenhuish Park
851,JobServe Community Stadium
853,Coventry Building Society Arena
854,Broadfield Stadium
855,Mornflake Stadium
856,Selhurst Park
857,Victoria Road
858,Blackwell Meadows
859,Pride Park Stadium
860,Keepmoat Stadium
862,The Perrys Crabble Stadium
864,Priory Lane Stadium
865,Silverlake Stadium
867,Stonebridge Road
868,Goodison Park
869,St James Park
870,The Shay
873,The Citadel
875,Highbury Stadium
876,The New Lawn
877,Craven Cottage
879,Gateshead International Stadium
880,Priestfield Stadium
881,New Meadow Park
883,Blundell Park
886,Beveree Stadium
887,The Exercise Stadium
889,Victoria Park
893,Vauxhall Road
895,Edgar Street
900,John Smith's Stadium
901,MKM Stadium
904,Portman Road
906,Aggborough
907,The Walks
909,Elland Road
910,King Power Stadium
913,Gaughan Group Stadium
914,LNER Stadium
915,Anfield
916,Kenilworth Road
917,Moss Rose
918,York Road
919,Etihad Stadium
920,Old Trafford
921,One Call Stadium
924,Riverside Stadium
925,The Den
926,Stadium mk
927,Mazuma Stadium
928,St James' Park
929,Rodney Parade
930,Sixfields Stadium
932,Carrow Road
933,The City Ground
934,Meadow Lane
936,Boundary Park
937,Court Place Farm
938,Kassam Stadium
939,Weston Homes Stadium
940,Home Park
941,Vale Park
942,Fratton Park
943,Deepdale
944,Loftus Road Stadium
946,Select Car Leasing Stadium
948,Crown Oil Arena
949,New York Stadium
951,Raymond McEnhill Stadium
952,Flamingo Land Stadium
953,Glanford Park
954,Bramall Lane
955,Hillsborough
956,Montgomery Waters Meadow
957,Arbour Park
958,The Automated Technology Group Stadium
959,St Mary's Stadium
960,Roots Hall
961,The Pure Stadium
962,Clarence Park
966,Longmead Stadium
967,The Lamex Stadium
968,Edgeley Park
969,bet365 Stadium
970,Stadium of Light
971,VBS Community Stadium
972,Swansea.com Stadium
973,County Ground
974,The Lamb Ground
975,Truro City Stadium
